IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.12.216.154,443,443,true,MCI,North America,Kansas City,245,0.00
141.98.24.111,443,443,true,AMS,Europe,Amsterdam,301,0.00
3.143.106.216,443,443,true,ORD,North America,Chicago,274,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,284,0.00
74.249.233.213,443,443,true,ORD,North America,Chicago,292,0.00
34.154.128.15,443,443,true,FRA,Europe,Frankfurt,293,0.00
176.97.75.90,443,443,true,FRA,Europe,Frankfurt,251,0.00
146.70.175.103,443,443,true,AMS,Europe,Amsterdam,214,0.00
20.75.178.96,443,443,true,IAD,North America,Ashburn,315,0.00
146.56.153.134,443,443,true,SIN,Asia Pacific,Singapore,355,0.00
103.137.63.3,443,443,true,KHH,Asia Pacific,Kaohsiung City,161,0.00
54.151.68.167,443,443,true,SJC,North America,San Jose,211,0.00
20.230.146.168,443,443,true,SEA,North America,Seattle,263,0.00
3.67.232.136,443,443,true,FRA,Europe,Frankfurt,277,0.00
34.150.233.190,443,443,true,IAD,North America,Ashburn,375,0.00
34.105.189.25,443,443,true,LHR,Europe,London,479,0.00
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,103,0.00
195.141.59.27,443,443,true,FRA,Europe,Frankfurt,240,0.00
95.164.85.27,443,443,true,OSL,Europe,Oslo,329,0.00
34.118.109.123,443,443,true,FRA,Europe,Frankfurt,285,0.00
162.223.94.166,443,443,true,BUF,North America,Buffalo,291,0.00
38.180.15.45,443,443,true,MRS,Europe,Marseille,303,0.00
52.89.138.13,443,443,true,SEA,North America,Seattle,221,0.00
4.230.8.95,443,443,true,ICN,Asia Pacific,Seoul,162,0.00
45.159.48.224,443,0,true,NRT,Asia Pacific,Tokyo,158,0.00
20.235.105.146,443,443,true,BOM,Asia Pacific,Mumbai,246,0.00
35.88.74.18,443,443,true,SEA,North America,Seattle,251,0.00
34.147.119.30,443,443,true,FRA,Europe,Frankfurt,311,0.00
130.162.234.209,443,443,true,FRA,Europe,Frankfurt,294,0.00
212.6.44.77,443,443,true,VNO,Europe,Vilnius,232,0.00
82.115.31.84,443,443,true,FRA,Europe,Frankfurt,219,0.00
152.32.211.127,443,443,true,LAX,North America,Los Angeles,242,0.00
175.41.130.169,443,443,true,SIN,Asia Pacific,Singapore,141,0.00
52.209.63.185,443,443,true,DUB,Europe,Dublin,272,0.00
193.187.175.136,443,443,true,CDG,Europe,Paris,349,0.00
192.236.249.105,443,443,true,AMS,Europe,Amsterdam,308,0.00
150.230.249.48,443,0,true,ICN,Asia Pacific,Seoul,193,0.00
155.248.196.123,443,443,true,YYZ,North America,Toronto,267,0.00
80.209.243.147,443,443,true,EWR,North America,Newark,330,0.00
47.76.180.193,443,443,true,HKG,Asia Pacific,Hong Kong,117,0.00
104.250.112.132,443,443,true,EWR,North America,Newark,288,0.00
51.81.209.10,443,443,true,PDX,North America,Portland,213,0.00
15.236.98.115,443,443,true,CDG,Europe,Paris,251,0.00
